pickup_zip,dropoff_zip,distance_miles
60614,63108,264.7
63108,60614,264.7
60614,13111,569.7
13111,60614,569.7
60614,49441,112.1
49441,60614,112.1
60614,67059,676.2
67059,60614,676.2
60614,14860,555.7
14860,60614,555.7
60614,31743,719.7
31743,60614,719.7
60614,16735,457.0
16735,60614,457.0
60614,90278,1757.2
90278,60614,1757.2
60614,50111,318.0
50111,60614,318.0
60614,27803,671.2
27803,60614,671.2
60614,71048,688.5
71048,60614,688.5
60614,62221,263.7
62221,60614,263.7
60614,55769,470.4
55769,60614,470.4
60614,25420,530.3
25420,60614,530.3
60614,92394,1683.8
92394,60614,1683.8
60614,48861,150.7
48861,60614,150.7
60614,70757,825.2
70757,60614,825.2
60614,74855,666.4
74855,60614,666.4
60614,77514,929.0
77514,60614,929.0
60614,51537,395.2
51537,60614,395.2
60614,76226,800.9
76226,60614,800.9
60614,49106,56.7
49106,60614,56.7
60614,31909,663.8
31909,60614,663.8
60614,29560,704.8
29560,60614,704.8
60614,22207,592.4
22207,60614,592.4
60614,52555,282.8
52555,60614,282.8
60614,53952,162.3
53952,60614,162.3
75201,90210,1249.8
90210,75201,1249.8
75201,90280,1237.4
90280,75201,1237.4
75201,26384,996.1
26384,75201,996.1
75201,71935,207.8
71935,75201,207.8
75201,44706,1012.4
44706,75201,1012.4
75201,32063,882.7
32063,75201,882.7
75201,60187,787.3
60187,75201,787.3
75201,83465,1226.8
83465,75201,1226.8
75201,32258,918.0
32258,75201,918.0
75201,53022,861.1
53022,75201,861.1
75201,58654,1033.9
58654,75201,1033.9
75201,47120,712.9
47120,75201,712.9
75201,68715,634.8
68715,75201,634.8
75201,36049,619.5
36049,75201,619.5
75201,52325,663.0
52325,75201,663.0
75201,72046,305.3
72046,75201,305.3
75201,64659,520.3
64659,75201,520.3
75201,97640,1472.1
97640,75201,1472.1
75201,92656,1212.1
92656,75201,1212.1
75201,47616,625.6
47616,75201,625.6
75201,27601,1057.9
27601,75201,1057.9
75201,97364,1678.5
97364,75201,1678.5
75201,64112,448.1
64112,75201,448.1
75201,32266,922.8
32266,75201,922.8
75201,44076,1065.5
44076,75201,1065.5
75201,66223,435.5
66223,75201,435.5
75201,56589,994.5
